Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2017","Chlamydia trachomatis infection, Cum 2017, flag","Chlamydia trachomatis infection, Cum 2016","Chlamydia trachomatis infection, Cum 2016, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2017","Coccidioidomycosis, Cum 2017, flag","Coccidioidomycosis, Cum 2016","Coccidioidomycosis, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,8286,,29056,,32594,,8286,,25647,,148,,208,,269,,148,,201,,,
NEW ENGLAND,2017,1,534,,1044,,1296,,534,,806,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,1,1598,,3918,,4284,,1598,,4060,,,-,0,,0,,,-,,-,,
NEW YORK CITY,2017,1,530,,1297,,1520,,530,,1402,,,N,0,,0,,,N,,N,,
E.N. CENTRAL,2017,1,1094,,4221,,4909,,1094,,4744,,2,,1,,7,,2,,,-,,
W.N. CENTRAL,2017,1,248,,1841,,2070,,248,,1930,,,-,2,,9,,,-,1,,,
S. ATLANTIC,2017,1,1014,,5590,,7038,,1014,,3471,,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2017,1,45,,1483,,2262,,45,,1050,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2017,1,2125,,3969,,5427,,2125,,3231,,,-,0,,1,,,-,1,,,
MOUNTAIN,2017,1,233,,1998,,2636,,233,,1492,,140,,123,,161,,140,,126,,,
PACIFIC,2017,1,1395,,4994,,5338,,1395,,4863,,6,,74,,143,,6,,73,,,
AMER. SAMOA,2017,1,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,
GUAM,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
TENNESSEE,2017,1,,-,616,,806,,,-,741,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
VERMONT,2017,1,,-,24,,76,,,-,31,,,N,0,,0,,,N,,N,"VERMONT
(43.622479, -72.51927)",
MISSOURI,2017,1,118,,593,,713,,118,,559,,,-,0,,2,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
NORTH DAKOTA,2017,1,,-,62,,93,,,-,92,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MARYLAND,2017,1,32,,526,,886,,32,,60,,,-,0,,2,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
CALIFORNIA,2017,1,745,,3808,,4142,,745,,3882,,6,,74,,143,,6,,73,,"CALIFORNIA
(37.640735, -121.002435)",
COLORADO,2017,1,,-,477,,1192,,,-,386,,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
DELAWARE,2017,1,80,,99,,199,,80,,73,,,-,0,,1,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
OHIO,2017,1,429,,1162,,1355,,429,,1355,,2,,0,,4,,2,,,-,"OHIO
(40.056807, -82.405897)",
