 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2017","Giardiasis, Cum 2017, flag","Giardiasis, Cum 2016","Giardiasis, Cum 2016, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2017","Gonorrhea, Cum 2017, flag","Gonorrhea, Cum 2016","Gonorrhea, Cum 2016, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Current week","Haemophilus influenzae invasive§, All ages, all serotypes, Current week, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Med","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Med, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Max","Haemophilus influenzae invasive§, All ages, all serotypes, Previous 52 weeks Max, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2017","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2017, flag","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2016","Haemophilus influenzae invasive§, All ages, all serotypes, Cum 2016, flag",Location 1,Location 2
CALIFORNIA,2017,5,12,,52,,77,,109,,231,,583,,1202,,1581,,5336,,5865,,2,,1,,4,,4,,4,,"CALIFORNIA
(37.640735, -121.002435)",
TENNESSEE,2017,5,,N,0,,0,,,N,,N,80,,177,,268,,378,,1060,,,-,3,,7,,17,,27,,"TENNESSEE
(35.681402, -85.774444)",
GEORGIA,2017,5,,-,14,,28,,,-,86,,,-,280,,371,,,-,1189,,1,,3,,8,,15,,22,,"GEORGIA
(32.836038, -83.631709)",
GUAM,2017,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
FLORIDA,2017,5,17,,21,,53,,103,,89,,323,,524,,902,,2151,,2311,,6,,4,,65,,29,,40,,"FLORIDA
(28.915325, -81.922409)",
NORTH DAKOTA,2017,5,,-,1,,4,,,-,6,,,-,18,,32,,14,,100,,,-,0,,4,,,-,4,,"NORTH DAKOTA
(47.475879, -100.121011)",
COLORADO,2017,5,9,,11,,21,,42,,36,,162,,121,,253,,744,,564,,,-,1,,6,,12,,10,,"COLORADO
(38.841772, -106.132562)",
NEVADA,2017,5,,-,1,,4,,,-,6,,32,,63,,99,,246,,263,,,-,0,,3,,1,,6,,"NEVADA
(39.491833, -117.070159)",
WASHINGTON,2017,5,,-,10,,48,,1,,12,,129,,153,,290,,624,,801,,,-,0,,2,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MICHIGAN,2017,5,,-,9,,24,,8,,40,,38,,227,,299,,543,,1100,,,-,3,,8,,9,,17,,"MICHIGAN
(44.66399, -84.711206)",
KANSAS,2017,5,,-,1,,6,,3,,10,,35,,67,,89,,341,,250,,,-,1,,5,,1,,3,,"KANSAS
(38.345528, -98.201847)",
C.N.M.I.,2017,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
DELAWARE,2017,5,,-,0,,3,,,-,,-,50,,32,,59,,178,,163,,1,,0,,3,,5,,3,,"DELAWARE
(39.008676, -75.574561)",
HAWAII,2017,5,,-,0,,4,,1,,3,,1,,27,,50,,52,,94,,,-,0,,6,,3,,4,,"HAWAII
(21.30992, -157.858158)",
IOWA,2017,6,,-,4,,13,,9,,20,,18,,49,,70,,301,,275,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
MISSOURI,2017,5,,-,5,,16,,8,,21,,184,,223,,291,,1105,,1113,,,-,2,,9,,15,,19,,"MISSOURI
(38.636168, -92.566292)",
NEW MEXICO,2017,5,,-,1,,9,,4,,7,,30,,64,,128,,237,,327,,1,,1,,3,,7,,9,,"NEW MEXICO
(34.520396, -106.244402)",
DIST. OF COL.,2017,5,,-,0,,2,,,-,3,,,-,65,,146,,307,,242,,,-,0,,1,,,-,4,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
SOUTH CAROLINA,2017,5,1,,2,,7,,12,,11,,195,,178,,300,,1007,,988,,,-,2,,10,,25,,10,,"SOUTH CAROLINA
(34.009286, -81.037094)",
OKLAHOMA,2017,5,,N,0,,0,,,N,,N,31,,106,,157,,372,,596,,2,,1,,8,,14,,5,,"OKLAHOMA
(35.468494, -97.521264)",
ILLINOIS,2017,5,,N,0,,0,,,N,,N,19,,283,,390,,558,,1695,,,-,4,,11,,11,,22,,"ILLINOIS
(40.477092, -88.993221)",
RHODE ISLAND,2017,5,,-,1,,8,,,-,3,,12,,9,,155,,23,,59,,,-,0,,11,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW YORK,2017,5,,-,17,,42,,7,,70,,185,,185,,377,,834,,714,,2,,4,,15,,10,,16,,"NEW YORK
(42.826892, -75.544286)",
IOWA,2017,5,,-,4,,13,,8,,18,,15,,48,,70,,237,,232,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
MARYLAND,2017,5,2,,4,,11,,20,,23,,81,,167,,325,,328,,462,,2,,2,,10,,21,,18,,"MARYLAND
(39.290443, -76.612333)",
INDIANA,2017,5,,-,3,,8,,2,,13,,102,,181,,265,,829,,956,,,-,2,,8,,5,,14,,"INDIANA
(39.76845, -86.156212)",
NEW JERSEY,2017,5,,-,2,,13,,2,,47,,58,,149,,195,,701,,1012,,,-,2,,8,,6,,21,,"NEW JERSEY
(40.104655, -74.386686)",
LOUISIANA,2017,5,,-,1,,11,,1,,9,,213,,214,,675,,1184,,856,,,-,1,,4,,3,,15,,"LOUISIANA
(31.2931, -92.463284)",
WYOMING,2017,5,,-,0,,2,,,-,2,,,-,5,,16,,11,,19,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
TEXAS,2017,5,,N,0,,0,,,N,,N,881,,829,,1195,,4385,,4261,,1,,6,,25,,6,,17,,"TEXAS
(31.827233, -99.423022)",
ALABAMA,2017,5,2,,4,,13,,18,,25,,136,,158,,268,,735,,727,,,-,1,,4,,5,,11,,"ALABAMA
(32.839182, -86.631125)",
ARIZONA,2017,5,1,,3,,7,,15,,17,,190,,196,,308,,764,,843,,4,,2,,6,,18,,29,,"ARIZONA
(34.869712, -111.760902)",
MISSISSIPPI,2017,5,,N,0,,0,,,N,,N,66,,119,,204,,402,,534,,,-,1,,6,,7,,5,,"MISSISSIPPI
(32.738663, -89.537312)",
OREGON,2017,5,,-,6,,17,,6,,30,,101,,83,,129,,450,,348,,3,,2,,6,,10,,11,,"OREGON
(44.567912, -120.156945)",
NORTH CAROLINA,2017,5,,-,0,,0,,,-,,-,,-,361,,412,,4,,1901,,,-,3,,8,,16,,24,,"NORTH CAROLINA
(35.47995, -79.180571)",
UNITED STATES,2017,6,95,,272,,439,,837,,1439,,4215,,8479,,9933,,39749,,49271,,50,,82,,161,,471,,670,,,
NEW ENGLAND,2017,6,1,,21,,36,,41,,122,,20,,166,,356,,548,,1009,,1,,5,,16,,17,,37,,,
MID. ATLANTIC,2017,6,44,,48,,85,,200,,268,,763,,999,,1204,,5965,,5880,,11,,12,,22,,59,,101,,,
NEW YORK CITY,2017,6,27,,16,,25,,102,,89,,277,,370,,506,,2336,,2098,,4,,2,,7,,14,,14,,,
E.N. CENTRAL,2017,6,2,,26,,151,,71,,163,,241,,1195,,1415,,5137,,7660,,1,,14,,30,,59,,119,,,
W.N. CENTRAL,2017,6,6,,15,,41,,54,,86,,290,,510,,629,,2420,,3002,,4,,5,,11,,33,,31,,,
S. ATLANTIC,2017,6,24,,50,,77,,177,,277,,666,,1734,,2419,,5122,,10041,,13,,19,,89,,142,,170,,,
E.S. CENTRAL,2017,6,2,,4,,13,,21,,27,,94,,574,,781,,2570,,2950,,4,,7,,12,,47,,56,,,
W.S. CENTRAL,2017,6,,-,4,,20,,8,,23,,1192,,1227,,1697,,7441,,7224,,8,,9,,28,,40,,51,,,
MOUNTAIN,2017,6,9,,25,,52,,96,,126,,302,,508,,730,,2653,,2880,,5,,7,,14,,51,,76,,,
PACIFIC,2017,6,7,,73,,134,,169,,347,,647,,1496,,1935,,7893,,8625,,3,,4,,12,,23,,29,,,
AMER. SAMOA,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
DIST. OF COL.,2017,6,,-,0,,2,,,-,3,,,-,65,,146,,307,,267,,,-,0,,1,,,-,5,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MICHIGAN,2017,6,,-,9,,24,,8,,48,,39,,227,,299,,685,,1321,,1,,3,,8,,12,,24,,"MICHIGAN
(44.66399, -84.711206)",
COLORADO,2017,6,8,,11,,21,,50,,49,,132,,122,,253,,881,,655,,2,,1,,6,,14,,12,,"COLORADO
(38.841772, -106.132562)",
C.N.M.I.,2017,6,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MISSOURI,2017,6,3,,5,,16,,14,,24,,204,,224,,291,,1381,,1312,,2,,2,,9,,20,,20,,"MISSOURI
(38.636168, -92.566292)",
MINNESOTA,2017,6,,-,0,,0,,,-,,-,,-,97,,123,,,-,587,,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
GUAM,2017,6,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
KANSAS,2017,6,,-,2,,6,,5,,11,,25,,68,,90,,408,,295,,,-,1,,5,,1,,3,,"KANSAS
(38.345528, -98.201847)",
WISCONSIN,2017,6,2,,9,,86,,21,,46,,79,,125,,149,,749,,820,,,-,2,,6,,4,,21,,"WISCONSIN
(44.395526, -89.834513)",
NEW JERSEY,2017,6,,-,2,,13,,2,,53,,46,,149,,195,,848,,1159,,,-,2,,8,,6,,23,,"NEW JERSEY
(40.104655, -74.386686)",
PUERTO RICO,2017,6,,-,0,,3,,,-,1,,,-,12,,28,,20,,78,,,-,0,,2,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
FLORIDA,2017,6,19,,21,,53,,122,,103,,341,,519,,905,,2796,,2827,,2,,4,,65,,31,,42,,"FLORIDA
(28.915325, -81.922409)",
SOUTH DAKOTA,2017,6,1,,2,,6,,10,,12,,1,,20,,33,,77,,178,,,-,0,,2,,,-,2,,"SOUTH DAKOTA
(44.35371, -100.373709)",
VERMONT,2017,6,,N,0,,0,,,N,,N,,-,2,,6,,10,,19,,,-,0,,2,,1,,1,,"VERMONT
(43.622479, -72.51927)",
MISSISSIPPI,2017,6,,N,0,,0,,,N,,N,,-,118,,204,,402,,652,,,-,1,,6,,9,,6,,"MISSISSIPPI
(32.738663, -89.537312)",
DELAWARE,2017,6,,-,0,,3,,,-,,-,45,,32,,59,,223,,196,,,-,0,,3,,5,,3,,"DELAWARE
(39.008676, -75.574561)",
ARIZONA,2017,6,,-,3,,7,,19,,21,,112,,197,,309,,922,,1020,,2,,2,,5,,22,,33,,"ARIZONA
(34.869712, -111.760902)",
MONTANA,2017,6,,-,2,,8,,3,,6,,,-,15,,26,,1,,139,,,-,0,,2,,2,,1,,"MONTANA
(47.062617, -109.430168)",
ARKANSAS,2017,6,,-,3,,9,,7,,12,,31,,96,,190,,177,,497,,,-,1,,4,,5,,5,,"ARKANSAS
(34.748745, -92.275105)",
MAINE,2017,6,1,,2,,7,,6,,13,,1,,8,,16,,30,,65,,1,,0,,3,,4,,4,,"MAINE
(45.252223, -68.986647)",
WASHINGTON,2017,6,2,,10,,48,,6,,22,,117,,153,,290,,741,,945,,,-,0,,2,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
PENNSYLVANIA,2017,6,7,,11,,33,,40,,49,,233,,287,,353,,1740,,1717,,1,,4,,10,,23,,43,,"PENNSYLVANIA
(40.789676, -77.858055)",
WYOMING,2017,6,,-,1,,2,,,-,2,,,-,5,,16,,15,,21,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
TENNESSEE,2017,6,,N,0,,0,,,N,,N,61,,185,,269,,906,,1228,,4,,3,,7,,24,,30,,"TENNESSEE
(35.681402, -85.774444)",
SOUTH CAROLINA,2017,6,1,,2,,7,,14,,13,,167,,178,,300,,1174,,1176,,4,,2,,10,,29,,12,,"SOUTH CAROLINA
(34.009286, -81.037094)",
ILLINOIS,2017,6,,N,0,,0,,,N,,N,16,,287,,395,,798,,2046,,,-,4,,11,,16,,28,,"ILLINOIS
(40.477092, -88.993221)",
VIRGINIA,2017,6,,-,5,,17,,10,,24,,,-,127,,776,,,-,1136,,4,,2,,13,,15,,19,,"VIRGINIA
(37.542699, -78.45822)",
UTAH,2017,6,,-,2,,9,,5,,13,,25,,40,,59,,234,,240,,,-,1,,3,,3,,4,,"UTAH
(39.359772, -111.584173)",
HAWAII,2017,6,,-,0,,4,,1,,3,,1,,27,,50,,75,,124,,,-,0,,6,,5,,5,,"HAWAII
(21.30992, -157.858158)",
TEXAS,2017,6,,N,0,,0,,,N,,N,893,,829,,1204,,5330,,5025,,3,,6,,26,,13,,22,,"TEXAS
(31.827233, -99.423022)",
WEST VIRGINIA,2017,6,,-,1,,4,,7,,10,,,-,19,,31,,132,,76,,1,,0,,3,,5,,8,,"WEST VIRGINIA
(38.668501, -80.709421)",
MASSACHUSETTS,2017,6,,-,11,,22,,15,,68,,,-,91,,145,,403,,522,,,-,2,,8,,11,,20,,"MASSACHUSETTS
(42.268546, -72.085064)",
OKLAHOMA,2017,6,,N,0,,0,,,N,,N,23,,107,,157,,503,,703,,5,,1,,8,,19,,8,,"OKLAHOMA
(35.468494, -97.521264)",
LOUISIANA,2017,6,,-,1,,11,,1,,11,,245,,214,,675,,1431,,999,,,-,1,,3,,3,,16,,"LOUISIANA
(31.2931, -92.463284)",
NORTH CAROLINA,2017,6,,-,0,,0,,,-,,-,,-,359,,418,,4,,2253,,,-,3,,9,,19,,30,,"NORTH CAROLINA
(35.47995, -79.180571)",
NEW MEXICO,2017,6,,-,1,,9,,4,,8,,8,,64,,128,,283,,379,,,-,1,,3,,7,,11,,"NEW MEXICO
(34.520396, -106.244402)",
MARYLAND,2017,6,4,,4,,11,,24,,26,,113,,167,,331,,486,,613,,1,,2,,10,,22,,21,,"MARYLAND
(39.290443, -76.612333)",
GEORGIA,2017,6,,-,14,,28,,,-,98,,,-,279,,371,,,-,1497,,1,,3,,8,,16,,30,,"GEORGIA
(32.836038, -83.631709)",
IDAHO,2017,6,1,,3,,13,,14,,19,,,-,10,,39,,7,,92,,1,,0,,3,,2,,6,,"IDAHO
(43.680635, -114.364237)",
NEW HAMPSHIRE,2017,6,,-,2,,6,,3,,13,,8,,9,,51,,63,,127,,,-,0,,3,,1,,2,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEBRASKA,2017,6,2,,2,,9,,16,,13,,42,,43,,78,,229,,239,,2,,1,,4,,11,,2,,"NEBRASKA
(41.640503, -99.367122)",
CONNECTICUT,2017,6,,-,5,,11,,14,,24,,4,,50,,127,,12,,200,,,-,1,,4,,,-,10,,"CONNECTICUT
(41.544654, -72.651713)",
NORTH DAKOTA,2017,6,,-,0,,4,,,-,6,,,-,17,,32,,24,,116,,,-,0,,4,,1,,4,,"NORTH DAKOTA
(47.475879, -100.121011)",
KENTUCKY,2017,6,,N,0,,0,,,N,,N,33,,108,,227,,527,,173,,,-,1,,3,,6,,8,,"KENTUCKY
(37.64591, -84.774043)",
INDIANA,2017,6,,-,3,,8,,2,,19,,107,,181,,264,,1062,,1136,,,-,2,,8,,5,,16,,"INDIANA
(39.76845, -86.156212)",
ALASKA,2017,6,,-,1,,5,,4,,9,,,-,24,,49,,,-,131,,,-,0,,2,,,-,4,,"ALASKA
(64.836661, -147.738891)",
VIRGIN ISL.,2017,6,,-,0,,0,,,-,,-,,-,0,,3,,,-,6,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
CALIFORNIA,2017,6,4,,54,,82,,151,,279,,456,,1210,,1586,,6551,,7006,,1,,1,,4,,6,,6,,"CALIFORNIA
(37.640735, -121.002435)",
RHODE ISLAND,2017,6,,-,1,,8,,3,,4,,7,,9,,167,,30,,76,,,-,0,,11,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW YORK,2017,6,10,,17,,42,,56,,77,,207,,185,,392,,1041,,906,,6,,4,,15,,16,,21,,"NEW YORK
(42.826892, -75.544286)",
OREGON,2017,6,1,,6,,17,,7,,34,,73,,84,,129,,526,,419,,2,,2,,6,,12,,14,,"OREGON
(44.567912, -120.156945)",
NEVADA,2017,6,,-,1,,4,,1,,8,,25,,63,,99,,310,,334,,,-,0,,3,,1,,9,,"NEVADA
(39.491833, -117.070159)",
OHIO,2017,6,,-,5,,135,,40,,50,,,-,383,,474,,1843,,2337,,,-,3,,8,,22,,30,,"OHIO
(40.056807, -82.405897)",
ALABAMA,2017,6,2,,4,,13,,21,,27,,,-,158,,268,,735,,897,,,-,2,,4,,8,,12,,"ALABAMA
(32.839182, -86.631125)",
UNITED STATES,2017,7,100,,272,,439,,1019,,1673,,5994,,8506,,10048,,49127,,56740,,33,,82,,160,,541,,770,,,
NEW ENGLAND,2017,7,1,,21,,36,,45,,143,,,-,164,,357,,798,,1167,,1,,5,,16,,18,,40,,,
MID. ATLANTIC,2017,7,42,,48,,87,,249,,313,,720,,1017,,1204,,7021,,6749,,12,,12,,22,,79,,118,,,
NEW YORK CITY,2017,7,26,,17,,27,,128,,100,,248,,384,,506,,2732,,2394,,1,,2,,7,,15,,17,,,
E.N. CENTRAL,2017,7,11,,26,,151,,86,,182,,398,,1204,,1414,,6298,,8803,,3,,14,,31,,75,,137,,,
W.N. CENTRAL,2017,7,1,,15,,41,,55,,107,,195,,510,,630,,2742,,3429,,,-,5,,11,,33,,39,,,
S. ATLANTIC,2017,7,18,,51,,77,,199,,309,,628,,1755,,2419,,6122,,11703,,6,,19,,89,,153,,195,,,
E.S. CENTRAL,2017,7,1,,4,,13,,23,,34,,180,,574,,783,,2924,,3389,,3,,7,,12,,51,,62,,,
W.S. CENTRAL,2017,7,5,,4,,20,,19,,34,,2959,,1244,,1717,,10579,,8292,,5,,9,,29,,47,,57,,,
MOUNTAIN,2017,7,11,,25,,52,,119,,141,,267,,509,,730,,3016,,3284,,3,,7,,13,,58,,83,,,
PACIFIC,2017,7,10,,73,,134,,224,,410,,647,,1500,,1939,,9627,,9924,,,-,4,,12,,27,,39,,,
AMER. SAMOA,2017,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MISSOURI,2017,7,1,,5,,16,,15,,32,,169,,225,,291,,1592,,1499,,,-,2,,9,,20,,26,,"MISSOURI
(38.636168, -92.566292)",
PENNSYLVANIA,2017,7,3,,11,,35,,49,,57,,219,,288,,353,,2072,,2001,,6,,4,,10,,32,,50,,"PENNSYLVANIA
(40.789676, -77.858055)",
COLORADO,2017,7,9,,11,,21,,59,,51,,101,,123,,253,,988,,735,,1,,1,,6,,15,,13,,"COLORADO
(38.841772, -106.132562)",
MARYLAND,2017,7,,-,4,,11,,24,,28,,127,,167,,337,,649,,812,,1,,2,,10,,23,,24,,"MARYLAND
(39.290443, -76.612333)",
ALABAMA,2017,7,1,,4,,13,,23,,34,,,-,157,,268,,735,,1026,,,-,2,,4,,8,,14,,"ALABAMA
(32.839182, -86.631125)",
UTAH,2017,7,1,,3,,9,,13,,14,,34,,40,,59,,286,,276,,,-,1,,3,,5,,5,,"UTAH
(39.359772, -111.584173)",
MONTANA,2017,7,,-,2,,8,,5,,10,,,-,14,,26,,1,,152,,,-,0,,2,,2,,3,,"MONTANA
(47.062617, -109.430168)",
WYOMING,2017,7,,-,1,,2,,,-,3,,,-,5,,16,,15,,25,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
