Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Current week","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Current week, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2017","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2017, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2016","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2016, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Current week","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Current week, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2017","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2017, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2016","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2016, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Current week","Ehrlichiosis and Anaplasmosis§, Undetermined, Current week, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2017","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2017, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2016","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,,-,13,,90,,,-,3,,4,,42,,198,,4,,9,,1,,2,,9,,1,,,-,,
NEW ENGLAND,2017,1,,-,0,,8,,,-,,-,,-,19,,100,,,-,7,,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2017,1,,-,3,,17,,,-,,-,4,,13,,60,,4,,1,,1,,0,,3,,1,,,-,,
NEW YORK CITY,2017,1,,-,0,,3,,,-,,-,4,,1,,5,,4,,,-,1,,0,,1,,1,,,-,,
E.N. CENTRAL,2017,1,,-,1,,8,,,-,,-,,-,6,,41,,,-,,-,,-,1,,5,,,-,,-,,
W.N. CENTRAL,2017,1,,-,2,,25,,,-,1,,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,,
S. ATLANTIC,2017,1,,-,2,,18,,,-,2,,,-,1,,4,,,-,1,,,-,0,,2,,,-,,-,,
E.S. CENTRAL,2017,1,,-,1,,12,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,
W.S. CENTRAL,2017,1,,-,2,,18,,,-,,-,,-,0,,5,,,-,,-,,-,0,,1,,,-,,-,,
MOUNTAIN,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,
PACIFIC,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,
AMER. SAMOA,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
TEXAS,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"TEXAS
(31.827233, -99.423022)",
TENNESSEE,2017,1,,-,1,,10,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
KENTUCKY,2017,1,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
RHODE ISLAND,2017,1,,-,0,,6,,,-,,-,,-,0,,18,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
CONNECTICUT,2017,1,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
MARYLAND,2017,1,,-,0,,9,,,-,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
DIST. OF COL.,2017,1,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MICHIGAN,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
