Reporting Area,MMWR Year,MMWR Week,"Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Current week","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Current week, flag ","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Previous 52 weeks Med","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Previous 52 weeks Med, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Previous 52 weeks Max","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Previous 52 weeks Max, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Cum 2017","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Cum 2017, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Cum 2016","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Confirmed Cum 2016, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Current week","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Current week, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Previous 52 weeks Med","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Previous 52 weeks Med, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Previous 52 weeks Max","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Previous 52 weeks Max, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Cum 2017","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Cum 2017, flag","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Cum 2016","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139)§, Probable Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,1,,15,,65,,1,,10,,1,,0,,4,,1,,,-,,
NEW ENGLAND,2017,1,,-,1,,12,,,-,1,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,1,1,,1,,10,,1,,,-,,-,0,,4,,,-,,-,,
NEW YORK CITY,2017,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,
E.N. CENTRAL,2017,1,,-,1,,5,,,-,1,,,-,0,,1,,,-,,-,,
W.N. CENTRAL,2017,1,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,
S. ATLANTIC,2017,1,,-,7,,21,,,-,1,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2017,1,,-,1,,5,,,-,2,,,-,0,,1,,,-,,-,,
W.S. CENTRAL,2017,1,,-,2,,11,,,-,1,,,-,0,,0,,,-,,-,,
MOUNTAIN,2017,1,,-,0,,3,,,-,,-,1,,0,,1,,1,,,-,,
PACIFIC,2017,1,,-,2,,22,,,-,3,,,-,0,,1,,,-,,-,,
AMER. SAMOA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NEW JERSEY,2017,1,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
RHODE ISLAND,2017,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
DIST. OF COL.,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MARYLAND,2017,1,,-,1,,7,,,-,,-,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
IDAHO,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
PUERTO RICO,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
KANSAS,2017,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.345528, -98.201847)",
TEXAS,2017,1,,-,1,,9,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NORTH CAROLINA,2017,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
WASHINGTON,2017,1,,-,0,,16,,,-,,-,,-,0,,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MAINE,2017,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
COLORADO,2017,1,,-,0,,0,,,-,,-,1,,0,,0,,1,,,-,"COLORADO
(38.841772, -106.132562)",
HAWAII,2017,1,,-,0,,3,,,-,1,,,-,0,,1,,,-,,-,"HAWAII
(21.30992, -157.858158)",
SOUTH DAKOTA,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
ARKANSAS,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
LOUISIANA,2017,1,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
MISSISSIPPI,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
KENTUCKY,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
ARIZONA,2017,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
INDIANA,2017,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NORTH DAKOTA,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
CONNECTICUT,2017,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
MICHIGAN,2017,1,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NEW YORK,2017,1,1,,0,,5,,1,,,-,,-,0,,4,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
WEST VIRGINIA,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
SOUTH CAROLINA,2017,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
OHIO,2017,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
VERMONT,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
OKLAHOMA,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MASSACHUSETTS,2017,1,,-,1,,7,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
ALASKA,2017,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEW HAMPSHIRE,2017,1,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ILLINOIS,2017,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"ILLINOIS
(40.477092, -88.993221)",
WISCONSIN,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
VIRGINIA,2017,1,,-,0,,6,,,-,,-,,-,0,,0,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
NEBRASKA,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
PENNSYLVANIA,2017,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSOURI,2017,1,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
GEORGIA,2017,1,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
FLORIDA,2017,1,,-,3,,10,,,-,,-,,-,0,,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
TENNESSEE,2017,1,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
ALABAMA,2017,1,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
IOWA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
UTAH,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
OREGON,2017,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
MINNESOTA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NEVADA,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
DELAWARE,2017,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW MEXICO,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
VIRGIN ISL.,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
C.N.M.I.,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MONTANA,2017,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
WYOMING,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
CALIFORNIA,2017,1,,-,2,,10,,,-,2,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
GUAM,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
UNITED STATES,2017,2,6,,16,,67,,9,,26,,,-,0,,4,,1,,,-,,
NEW ENGLAND,2017,2,,-,1,,12,,,-,2,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2017,2,,-,1,,10,,1,,,-,,-,0,,4,,,-,,-,,
NEW YORK CITY,2017,2,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,
E.N. CENTRAL,2017,2,,-,1,,5,,,-,2,,,-,0,,1,,,-,,-,,
