Reporting Area,MMWR Year,MMWR Week,"Babesiosis, Current week","Babesiosis, Current week, flag","Babesiosis, Previous 52 weeks Med","Babesiosis, Previous 52 weeks Med, flag","Babesiosis, Previous 52 weeks Max","Babesiosis, Previous 52 weeks Max, flag","Babesiosis, Cum 2017","Babesiosis, Cum 2017, flag","Babesiosis, Cum 2016","Babesiosis, Cum 2016, flag","Campylobacteriosis, Current week","Campylobacteriosis, Current week, flag","Campylobacteriosis, Previous 52 weeks Med","Campylobacteriosis, Previous 52 weeks Med, flag","Campylobacteriosis, Previous 52 weeks Max","Campylobacteriosis, Previous 52 weeks Max, flag","Campylobacteriosis, Cum 2017","Campylobacteriosis, Cum 2017, flag","Campylobacteriosis, Cum 2016","Campylobacteriosis, Cum 2016, flag",Location 1,Location 2
NEW HAMPSHIRE,2017,1,,-,0,,2,,,-,,-,,-,4,,10,,,-,4,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VERMONT,2017,1,,-,0,,5,,,-,,-,1,,4,,10,,1,,3,,"VERMONT
(43.622479, -72.51927)",
ALABAMA,2017,1,,-,0,,0,,,-,,-,4,,13,,25,,4,,17,,"ALABAMA
(32.839182, -86.631125)",
UTAH,2017,1,,-,0,,1,,,-,,-,,-,8,,27,,,-,7,,"UTAH
(39.359772, -111.584173)",
OHIO,2017,1,,-,0,,0,,,-,,-,31,,36,,63,,31,,30,,"OHIO
(40.056807, -82.405897)",
MONTANA,2017,1,,-,0,,1,,,-,,-,,-,6,,14,,,-,5,,"MONTANA
(47.062617, -109.430168)",
ARIZONA,2017,1,,-,0,,0,,,-,,-,14,,22,,51,,14,,24,,"ARIZONA
(34.869712, -111.760902)",
ARKANSAS,2017,1,,-,0,,0,,,-,,-,,-,9,,29,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
TENNESSEE,2017,1,,-,0,,1,,,-,,-,5,,13,,30,,5,,14,,"TENNESSEE
(35.681402, -85.774444)",
NORTH DAKOTA,2017,1,,-,0,,1,,,-,,-,,-,2,,9,,,-,3,,"NORTH DAKOTA
(47.475879, -100.121011)",
NEVADA,2017,1,,N,0,,0,,,N,,N,,-,3,,12,,,-,4,,"NEVADA
(39.491833, -117.070159)",
MICHIGAN,2017,1,,-,0,,1,,,-,,-,,-,27,,52,,,-,17,,"MICHIGAN
(44.66399, -84.711206)",
DIST. OF COL.,2017,1,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
PENNSYLVANIA,2017,1,,N,0,,0,,,N,,N,10,,40,,83,,10,,43,,"PENNSYLVANIA
(40.789676, -77.858055)",
INDIANA,2017,1,,-,0,,0,,,-,,-,2,,16,,30,,2,,13,,"INDIANA
(39.76845, -86.156212)",
VIRGIN ISL.,2017,1,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
C.N.M.I.,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MISSISSIPPI,2017,1,,N,0,,0,,,N,,N,3,,5,,13,,3,,1,,"MISSISSIPPI
(32.738663, -89.537312)",
NEW YORK,2017,1,1,,3,,26,,1,,1,,9,,27,,63,,9,,4,,"NEW YORK
(42.826892, -75.544286)",
MISSOURI,2017,1,,N,0,,0,,,N,,N,,-,23,,57,,,-,23,,"MISSOURI
(38.636168, -92.566292)",
PUERTO RICO,2017,1,,N,0,,0,,,N,,N,1,,1,,3,,1,,2,,"PUERTO RICO
(18.215692, -66.414655)",
COLORADO,2017,1,,N,0,,0,,,N,,N,10,,0,,1,,10,,,-,"COLORADO
(38.841772, -106.132562)",
ILLINOIS,2017,1,,-,0,,1,,,-,,-,,-,37,,64,,,-,44,,"ILLINOIS
(40.477092, -88.993221)",
LOUISIANA,2017,1,,-,0,,1,,,-,,-,2,,5,,21,,2,,1,,"LOUISIANA
(31.2931, -92.463284)",
MASSACHUSETTS,2017,1,,-,2,,47,,,-,3,,,-,26,,44,,,-,19,,"MASSACHUSETTS
(42.268546, -72.085064)",
OREGON,2017,1,,-,0,,1,,,-,,-,11,,19,,45,,11,,9,,"OREGON
(44.567912, -120.156945)",
KENTUCKY,2017,1,,-,0,,0,,,-,,-,1,,12,,26,,1,,12,,"KENTUCKY
(37.64591, -84.774043)",
OKLAHOMA,2017,1,,N,0,,0,,,N,,N,5,,21,,45,,5,,,-,"OKLAHOMA
(35.468494, -97.521264)",
GEORGIA,2017,1,,N,0,,0,,,N,,N,5,,17,,34,,5,,18,,"GEORGIA
(32.836038, -83.631709)",
NORTH CAROLINA,2017,1,,N,0,,0,,,N,,N,,-,24,,47,,,-,23,,"NORTH CAROLINA
(35.47995, -79.180571)",
WISCONSIN,2017,1,1,,1,,6,,1,,,-,3,,28,,59,,3,,15,,"WISCONSIN
(44.395526, -89.834513)",
IDAHO,2017,1,,N,0,,0,,,N,,N,6,,8,,20,,6,,9,,"IDAHO
(43.680635, -114.364237)",
SOUTH CAROLINA,2017,1,,-,0,,1,,,-,,-,2,,6,,15,,2,,6,,"SOUTH CAROLINA
(34.009286, -81.037094)",
SOUTH DAKOTA,2017,1,,-,0,,0,,,-,,-,,-,8,,24,,,-,5,,"SOUTH DAKOTA
(44.35371, -100.373709)",
KANSAS,2017,1,,N,0,,0,,,N,,N,,-,12,,31,,,-,11,,"KANSAS
(38.345528, -98.201847)",
MINNESOTA,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
HAWAII,2017,1,,N,0,,0,,,N,,N,,-,9,,25,,,-,3,,"HAWAII
(21.30992, -157.858158)",
CALIFORNIA,2017,1,,-,0,,1,,,-,,-,46,,162,,240,,46,,147,,"CALIFORNIA
(37.640735, -121.002435)",
RHODE ISLAND,2017,1,,-,1,,24,,,-,1,,,-,4,,13,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
IOWA,2017,1,,-,0,,1,,,-,,-,5,,18,,44,,5,,23,,"IOWA
(42.46942, -93.815856)",
GUAM,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW MEXICO,2017,1,,N,0,,0,,,N,,N,,-,9,,22,,,-,6,,"NEW MEXICO
(34.520396, -106.244402)",
NEBRASKA,2017,1,,-,0,,1,,,-,,-,1,,10,,26,,1,,7,,"NEBRASKA
(41.640503, -99.367122)",
WEST VIRGINIA,2017,1,,-,0,,0,,,-,,-,,-,4,,14,,,-,3,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW JERSEY,2017,1,,-,1,,20,,,-,,-,,-,30,,65,,,-,30,,"NEW JERSEY
(40.104655, -74.386686)",
FLORIDA,2017,1,,N,0,,0,,,N,,N,30,,39,,59,,30,,31,,"FLORIDA
(28.915325, -81.922409)",
MAINE,2017,1,,-,0,,11,,,-,,-,2,,4,,12,,2,,2,,"MAINE
(45.252223, -68.986647)",
MARYLAND,2017,1,,-,0,,3,,,-,,-,,-,16,,32,,,-,11,,"MARYLAND
(39.290443, -76.612333)",
TEXAS,2017,1,,-,0,,1,,,-,,-,1,,78,,172,,1,,7,,"TEXAS
(31.827233, -99.423022)",
CONNECTICUT,2017,1,,-,2,,32,,,-,,-,1,,10,,34,,1,,10,,"CONNECTICUT
(41.544654, -72.651713)",
WYOMING,2017,1,,-,0,,0,,,-,,-,,-,2,,9,,,-,1,,"WYOMING
(43.23558, -108.110518)",
WASHINGTON,2017,1,,-,0,,0,,,-,,-,,-,27,,151,,,-,1,,"WASHINGTON
(47.517368, -120.467672)",
VIRGINIA,2017,1,,N,0,,0,,,N,,N,3,,27,,55,,3,,7,,"VIRGINIA
(37.542699, -78.45822)",
UNITED STATES,2017,2,3,,11,,142,,8,,9,,299,,976,,1556,,683,,1527,,,
NEW ENGLAND,2017,2,,-,5,,104,,,-,8,,4,,51,,98,,10,,85,,,
MID. ATLANTIC,2017,2,3,,5,,38,,5,,1,,56,,135,,231,,124,,280,,,
NEW YORK CITY,2017,2,3,,0,,9,,4,,,-,40,,33,,54,,78,,85,,,
E.N. CENTRAL,2017,2,,-,1,,6,,2,,,-,35,,140,,249,,80,,232,,,
W.N. CENTRAL,2017,2,,-,0,,1,,,-,,-,5,,72,,155,,13,,111,,,
S. ATLANTIC,2017,2,,-,0,,4,,1,,,-,59,,133,,213,,126,,242,,,
E.S. CENTRAL,2017,2,,-,0,,1,,,-,,-,10,,43,,72,,41,,101,,,
W.S. CENTRAL,2017,2,,-,0,,1,,,-,,-,31,,107,,234,,40,,33,,,
MOUNTAIN,2017,2,,-,0,,1,,,-,,-,24,,79,,143,,63,,122,,,
PACIFIC,2017,2,,-,0,,1,,,-,,-,75,,231,,339,,186,,321,,,
AMER. SAMOA,2017,2,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,,
MONTANA,2017,2,,-,0,,1,,,-,,-,2,,6,,14,,3,,7,,"MONTANA
(47.062617, -109.430168)",
ARIZONA,2017,2,,-,0,,0,,,-,,-,8,,22,,51,,26,,49,,"ARIZONA
(34.869712, -111.760902)",
KANSAS,2017,2,,N,0,,0,,,N,,N,,-,12,,31,,,-,21,,"KANSAS
(38.345528, -98.201847)",
NEW HAMPSHIRE,2017,2,,-,0,,2,,,-,,-,,-,4,,10,,1,,10,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WEST VIRGINIA,2017,2,,-,0,,0,,,-,,-,,-,4,,14,,,-,6,,"WEST VIRGINIA
(38.668501, -80.709421)",
WISCONSIN,2017,2,,-,1,,6,,2,,,-,9,,28,,59,,19,,35,,"WISCONSIN
(44.395526, -89.834513)",
GUAM,2017,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VERMONT,2017,2,,-,0,,5,,,-,,-,1,,4,,10,,3,,4,,"VERMONT
(43.622479, -72.51927)",
DIST. OF COL.,2017,2,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ILLINOIS,2017,2,,-,0,,1,,,-,,-,,-,37,,64,,2,,69,,"ILLINOIS
(40.477092, -88.993221)",
MARYLAND,2017,2,,-,0,,3,,1,,,-,13,,16,,32,,24,,25,,"MARYLAND
(39.290443, -76.612333)",
DELAWARE,2017,2,,-,0,,1,,,-,,-,,-,3,,9,,1,,5,,"DELAWARE
(39.008676, -75.574561)",
IDAHO,2017,2,,N,0,,0,,,N,,N,7,,7,,20,,14,,18,,"IDAHO
(43.680635, -114.364237)",
TEXAS,2017,2,,-,0,,1,,,-,,-,20,,78,,172,,22,,9,,"TEXAS
(31.827233, -99.423022)",
WASHINGTON,2017,2,,-,0,,0,,,-,,-,2,,28,,151,,2,,7,,"WASHINGTON
(47.517368, -120.467672)",
VIRGIN ISL.,2017,2,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NORTH CAROLINA,2017,2,,N,0,,0,,,N,,N,,-,24,,48,,1,,50,,"NORTH CAROLINA
(35.47995, -79.180571)",
MICHIGAN,2017,2,,-,0,,1,,,-,,-,,-,27,,52,,,-,33,,"MICHIGAN
(44.66399, -84.711206)",
C.N.M.I.,2017,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OHIO,2017,2,,-,0,,0,,,-,,-,26,,36,,63,,57,,66,,"OHIO
(40.056807, -82.405897)",
OKLAHOMA,2017,2,,N,0,,0,,,N,,N,8,,21,,45,,13,,12,,"OKLAHOMA
(35.468494, -97.521264)",
ALABAMA,2017,2,,-,0,,0,,,-,,-,3,,13,,25,,13,,26,,"ALABAMA
(32.839182, -86.631125)",
NEW JERSEY,2017,2,,-,1,,20,,,-,,-,3,,30,,65,,8,,66,,"NEW JERSEY
(40.104655, -74.386686)",
NEW MEXICO,2017,2,,N,0,,0,,,N,,N,,-,9,,22,,1,,11,,"NEW MEXICO
(34.520396, -106.244402)",
NEVADA,2017,2,,N,0,,0,,,N,,N,,-,3,,12,,,-,7,,"NEVADA
(39.491833, -117.070159)",
PENNSYLVANIA,2017,2,,N,0,,0,,,N,,N,13,,39,,82,,29,,93,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEBRASKA,2017,2,,-,0,,1,,,-,,-,2,,10,,26,,5,,10,,"NEBRASKA
(41.640503, -99.367122)",
MISSISSIPPI,2017,2,,N,0,,0,,,N,,N,2,,5,,13,,9,,11,,"MISSISSIPPI
(32.738663, -89.537312)",
IOWA,2017,2,,-,0,,1,,,-,,-,3,,18,,44,,8,,34,,"IOWA
(42.46942, -93.815856)",
MAINE,2017,2,,-,0,,11,,,-,1,,3,,4,,12,,5,,2,,"MAINE
(45.252223, -68.986647)",
MISSOURI,2017,2,,N,0,,0,,,N,,N,,-,23,,57,,,-,36,,"MISSOURI
(38.636168, -92.566292)",
INDIANA,2017,2,,-,0,,0,,,-,,-,,-,16,,30,,2,,29,,"INDIANA
(39.76845, -86.156212)",
ARKANSAS,2017,2,,-,0,,0,,,-,,-,3,,9,,29,,3,,6,,"ARKANSAS
(34.748745, -92.275105)",
COLORADO,2017,2,,N,0,,0,,,N,,N,7,,18,,45,,17,,17,,"COLORADO
(38.841772, -106.132562)",
GEORGIA,2017,2,,N,0,,0,,,N,,N,7,,17,,34,,18,,38,,"GEORGIA
(32.836038, -83.631709)",
PUERTO RICO,2017,2,,N,0,,0,,,N,,N,,-,1,,3,,1,,2,,"PUERTO RICO
(18.215692, -66.414655)",
CALIFORNIA,2017,2,,-,0,,1,,,-,,-,68,,162,,238,,166,,279,,"CALIFORNIA
(37.640735, -121.002435)",
FLORIDA,2017,2,,N,0,,0,,,N,,N,32,,39,,59,,62,,80,,"FLORIDA
(28.915325, -81.922409)",
TENNESSEE,2017,2,,-,0,,1,,,-,,-,3,,13,,30,,8,,38,,"TENNESSEE
(35.681402, -85.774444)",
MASSACHUSETTS,2017,2,,-,2,,47,,,-,4,,,-,26,,44,,,-,47,,"MASSACHUSETTS
(42.268546, -72.085064)",
UTAH,2017,2,,-,0,,1,,,-,,-,,-,8,,27,,,-,10,,"UTAH
(39.359772, -111.584173)",
VIRGINIA,2017,2,,N,0,,0,,,N,,N,6,,27,,55,,17,,22,,"VIRGINIA
(37.542699, -78.45822)",
RHODE ISLAND,2017,2,,-,1,,24,,,-,1,,,-,4,,13,,,-,2,,"RHODE ISLAND
(41.707447, -71.522488)",
WYOMING,2017,2,,-,0,,0,,,-,,-,,-,2,,9,,2,,3,,"WYOMING
(43.23558, -108.110518)",
SOUTH DAKOTA,2017,2,,-,0,,0,,,-,,-,,-,8,,24,,,-,6,,"SOUTH DAKOTA
(44.35371, -100.373709)",
SOUTH CAROLINA,2017,2,,-,0,,1,,,-,,-,1,,6,,15,,3,,16,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW YORK,2017,2,,-,3,,26,,1,,1,,,-,27,,63,,9,,36,,"NEW YORK
(42.826892, -75.544286)",
MINNESOTA,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
LOUISIANA,2017,2,,-,0,,1,,,-,,-,,-,5,,21,,2,,6,,"LOUISIANA
(31.2931, -92.463284)",
OREGON,2017,2,,-,0,,1,,,-,,-,5,,19,,45,,18,,22,,"OREGON
(44.567912, -120.156945)",
NORTH DAKOTA,2017,2,,-,0,,1,,,-,,-,,-,2,,9,,,-,4,,"NORTH DAKOTA
(47.475879, -100.121011)",
CONNECTICUT,2017,2,,-,2,,32,,,-,2,,,-,10,,34,,1,,20,,"CONNECTICUT
(41.544654, -72.651713)",
ALASKA,2017,2,,N,0,,0,,,N,,N,,-,2,,7,,,-,4,,"ALASKA
(64.836661, -147.738891)",
KENTUCKY,2017,2,,-,0,,0,,,-,,-,2,,12,,26,,11,,26,,"KENTUCKY
(37.64591, -84.774043)",
HAWAII,2017,2,,N,0,,0,,,N,,N,,-,9,,25,,,-,9,,"HAWAII
(21.30992, -157.858158)",
UNITED STATES,2017,3,2,,12,,143,,11,,11,,347,,983,,1561,,1296,,2237,,,
NEW ENGLAND,2017,3,1,,5,,105,,2,,9,,7,,51,,98,,62,,116,,,
MID. ATLANTIC,2017,3,,-,6,,40,,5,,1,,43,,130,,230,,183,,384,,,
NEW YORK CITY,2017,3,,-,1,,9,,4,,,-,28,,33,,54,,106,,106,,,
E.N. CENTRAL,2017,3,,-,1,,6,,2,,,-,27,,142,,240,,140,,344,,,
W.N. CENTRAL,2017,3,,-,0,,1,,,-,,-,11,,72,,155,,35,,158,,,
S. ATLANTIC,2017,3,1,,0,,4,,2,,1,,61,,131,,213,,200,,361,,,
E.S. CENTRAL,2017,3,,-,0,,1,,,-,,-,11,,43,,73,,67,,149,,,
W.S. CENTRAL,2017,3,,-,0,,1,,,-,,-,56,,107,,234,,112,,50,,,
MOUNTAIN,2017,3,,-,0,,1,,,-,,-,34,,79,,143,,116,,188,,,
PACIFIC,2017,3,,-,0,,1,,,-,,-,97,,231,,339,,381,,487,,,
AMER. SAMOA,2017,3,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,,
SOUTH CAROLINA,2017,3,,-,0,,1,,,-,1,,4,,5,,15,,11,,23,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MONTANA,2017,3,,-,0,,1,,,-,,-,,-,6,,14,,3,,10,,"MONTANA
(47.062617, -109.430168)",
ARIZONA,2017,3,,-,0,,0,,,-,,-,11,,22,,51,,47,,70,,"ARIZONA
(34.869712, -111.760902)",
VIRGIN ISL.,2017,3,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MARYLAND,2017,3,1,,0,,3,,2,,,-,9,,16,,32,,34,,41,,"MARYLAND
(39.290443, -76.612333)",
ALABAMA,2017,3,,-,0,,0,,,-,,-,1,,13,,25,,16,,44,,"ALABAMA
(32.839182, -86.631125)",
MASSACHUSETTS,2017,3,,-,3,,50,,,-,5,,1,,26,,44,,25,,63,,"MASSACHUSETTS
(42.268546, -72.085064)",
OHIO,2017,3,,-,0,,0,,,-,,-,20,,36,,63,,76,,91,,"OHIO
(40.056807, -82.405897)",
NEBRASKA,2017,3,,-,0,,1,,,-,,-,2,,10,,26,,8,,15,,"NEBRASKA
(41.640503, -99.367122)",
CONNECTICUT,2017,3,,-,1,,32,,,-,2,,,-,10,,34,,15,,30,,"CONNECTICUT
(41.544654, -72.651713)",
IOWA,2017,3,,-,0,,1,,,-,,-,9,,18,,44,,23,,41,,"IOWA
(42.46942, -93.815856)",
WEST VIRGINIA,2017,3,,-,0,,0,,,-,,-,,-,4,,14,,1,,9,,"WEST VIRGINIA
(38.668501, -80.709421)",
CALIFORNIA,2017,3,,-,0,,1,,,-,,-,75,,162,,238,,327,,417,,"CALIFORNIA
(37.640735, -121.002435)",
FLORIDA,2017,3,,N,0,,0,,,N,,N,36,,38,,59,,99,,114,,"FLORIDA
(28.915325, -81.922409)",
NEW HAMPSHIRE,2017,3,,-,0,,2,,,-,,-,3,,4,,10,,7,,14,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW MEXICO,2017,3,,N,0,,0,,,N,,N,,-,9,,24,,5,,13,,"NEW MEXICO
(34.520396, -106.244402)",
NEW YORK,2017,3,,-,4,,26,,1,,1,,,-,34,,63,,9,,59,,"NEW YORK
(42.826892, -75.544286)",
RHODE ISLAND,2017,3,,-,1,,24,,,-,1,,,-,4,,13,,1,,2,,"RHODE ISLAND
(41.707447, -71.522488)",
KANSAS,2017,3,,N,0,,0,,,N,,N,,-,12,,31,,4,,32,,"KANSAS
(38.345528, -98.201847)",
DELAWARE,2017,3,,-,0,,1,,,-,,-,,-,3,,9,,2,,7,,"DELAWARE
(39.008676, -75.574561)",
HAWAII,2017,3,,N,0,,0,,,N,,N,2,,9,,25,,15,,13,,"HAWAII
(21.30992, -157.858158)",
IDAHO,2017,3,,N,0,,0,,,N,,N,5,,8,,20,,21,,23,,"IDAHO
(43.680635, -114.364237)",
ARKANSAS,2017,3,,-,0,,0,,,-,,-,3,,9,,29,,6,,17,,"ARKANSAS
(34.748745, -92.275105)",
PUERTO RICO,2017,3,,N,0,,0,,,N,,N,,-,1,,3,,1,,2,,"PUERTO RICO
(18.215692, -66.414655)",
GEORGIA,2017,3,,N,0,,0,,,N,,N,5,,17,,34,,25,,49,,"GEORGIA
(32.836038, -83.631709)",
LOUISIANA,2017,3,,-,0,,1,,,-,,-,9,,5,,21,,16,,6,,"LOUISIANA
(31.2931, -92.463284)",
WISCONSIN,2017,3,,-,1,,6,,2,,,-,6,,29,,59,,38,,51,,"WISCONSIN
(44.395526, -89.834513)",
C.N.M.I.,2017,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
OKLAHOMA,2017,3,,N,0,,0,,,N,,N,12,,21,,45,,25,,16,,"OKLAHOMA
(35.468494, -97.521264)",
WYOMING,2017,3,,-,0,,0,,,-,,-,,-,2,,9,,2,,5,,"WYOMING
(43.23558, -108.110518)",
VERMONT,2017,3,,-,0,,5,,,-,,-,1,,4,,10,,4,,5,,"VERMONT
(43.622479, -72.51927)",
INDIANA,2017,3,,-,0,,0,,,-,,-,1,,16,,31,,7,,43,,"INDIANA
(39.76845, -86.156212)",
NORTH CAROLINA,2017,3,,N,0,,0,,,N,,N,,-,24,,48,,1,,67,,"NORTH CAROLINA
(35.47995, -79.180571)",
MAINE,2017,3,1,,0,,11,,2,,1,,2,,4,,12,,10,,2,,"MAINE
(45.252223, -68.986647)",
MISSOURI,2017,3,,N,0,,0,,,N,,N,,-,23,,57,,,-,51,,"MISSOURI
(38.636168, -92.566292)",
TENNESSEE,2017,3,,-,0,,1,,,-,,-,5,,13,,30,,14,,51,,"TENNESSEE
(35.681402, -85.774444)",
UTAH,2017,3,,-,0,,1,,,-,,-,,-,8,,27,,2,,21,,"UTAH
(39.359772, -111.584173)",
NEVADA,2017,3,,N,0,,0,,,N,,N,,-,3,,12,,1,,11,,"NEVADA
(39.491833, -117.070159)",
PENNSYLVANIA,2017,3,,N,0,,0,,,N,,N,15,,39,,81,,57,,132,,"PENNSYLVANIA
(40.789676, -77.858055)",
MICHIGAN,2017,3,,-,0,,1,,,-,,-,,-,27,,51,,14,,57,,"MICHIGAN
(44.66399, -84.711206)",
ILLINOIS,2017,3,,-,0,,1,,,-,,-,,-,37,,64,,5,,102,,"ILLINOIS
(40.477092, -88.993221)",
NORTH DAKOTA,2017,3,,-,0,,1,,,-,,-,,-,1,,9,,,-,6,,"NORTH DAKOTA
(47.475879, -100.121011)",
COLORADO,2017,3,,N,0,,0,,,N,,N,18,,18,,45,,35,,35,,"COLORADO
(38.841772, -106.132562)",
DIST. OF COL.,2017,3,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
KENTUCKY,2017,3,,-,0,,0,,,-,,-,1,,12,,26,,22,,37,,"KENTUCKY
(37.64591, -84.774043)",
MISSISSIPPI,2017,3,,N,0,,0,,,N,,N,4,,5,,13,,15,,17,,"MISSISSIPPI
(32.738663, -89.537312)",
VIRGINIA,2017,3,,N,0,,0,,,N,,N,7,,27,,55,,27,,51,,"VIRGINIA
(37.542699, -78.45822)",
MINNESOTA,2017,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
OREGON,2017,3,,-,0,,1,,,-,,-,17,,18,,39,,34,,33,,"OREGON
(44.567912, -120.156945)",
SOUTH DAKOTA,2017,3,,-,0,,0,,,-,,-,,-,9,,24,,,-,13,,"SOUTH DAKOTA
(44.35371, -100.373709)",
WASHINGTON,2017,3,,-,0,,0,,,-,,-,,-,28,,151,,2,,18,,"WASHINGTON
(47.517368, -120.467672)",
TEXAS,2017,3,,-,0,,1,,,-,,-,32,,78,,172,,65,,11,,"TEXAS
(31.827233, -99.423022)",
ALASKA,2017,3,,N,0,,0,,,N,,N,3,,2,,7,,3,,6,,"ALASKA
(64.836661, -147.738891)",
GUAM,2017,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEW JERSEY,2017,3,,-,1,,20,,,-,,-,,-,30,,65,,11,,87,,"NEW JERSEY
(40.104655, -74.386686)",
UNITED STATES,2017,4,,-,12,,144,,11,,16,,380,,986,,1560,,2016,,2971,,,
NEW ENGLAND,2017,4,,-,5,,106,,2,,11,,7,,51,,98,,108,,162,,,
MID. ATLANTIC,2017,4,,-,6,,40,,5,,3,,66,,130,,230,,276,,483,,,
NEW YORK CITY,2017,4,,-,1,,9,,4,,,-,54,,33,,54,,148,,130,,,
E.N. CENTRAL,2017,4,,-,1,,6,,2,,,-,42,,143,,240,,240,,470,,,
W.N. CENTRAL,2017,4,,-,0,,1,,,-,,-,20,,72,,155,,104,,218,,,
S. ATLANTIC,2017,4,,-,0,,4,,2,,1,,62,,134,,213,,283,,472,,,
E.S. CENTRAL,2017,4,,-,0,,1,,,-,,-,16,,42,,73,,111,,186,,,
W.S. CENTRAL,2017,4,,-,0,,1,,,-,,-,52,,107,,234,,169,,86,,,
MOUNTAIN,2017,4,,-,0,,1,,,-,,-,31,,79,,143,,159,,256,,,
PACIFIC,2017,4,,-,0,,1,,,-,1,,84,,231,,339,,566,,638,,,
AMER. SAMOA,2017,4,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,,
