Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis§, Confirmed, Current week","Spotted Fever Rickettsiosis§, Confirmed, Current week, flag","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis§, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis§, Confirmed, Cum 2017","Spotted Fever Rickettsiosis§, Confirmed, Cum 2017, flag","Spotted Fever Rickettsiosis§, Confirmed, Cum 2016","Spotted Fever Rickettsiosis§, Confirmed, Cum 2016, flag","Spotted Fever Rickettsiosis§, Probable, Current week","Spotted Fever Rickettsiosis§, Probable, Current week, flag","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis§, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis§, Probable, Cum 2017","Spotted Fever Rickettsiosis§, Probable, Cum 2017, flag","Spotted Fever Rickettsiosis§, Probable, Cum 2016","Spotted Fever Rickettsiosis§, Probable, Cum 2016, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2017","Syphilis, primary and secondary, Cum 2017, flag","Syphilis, primary and secondary, Cum 2016","Syphilis, primary and secondary, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,,-,2,,11,,,-,1,,1,,58,,216,,1,,8,,57,,499,,590,,57,,501,,,
NEW ENGLAND,2017,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,15,,29,,,-,27,,,
MID. ATLANTIC,2017,1,,-,0,,1,,,-,,-,,-,2,,13,,,-,,-,7,,67,,91,,7,,67,,,
NEW YORK CITY,2017,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,2,,33,,47,,2,,42,,,
E.N. CENTRAL,2017,1,,-,0,,2,,,-,,-,,-,2,,15,,,-,1,,1,,46,,58,,1,,56,,,
W.N. CENTRAL,2017,1,,-,0,,2,,,-,,-,,-,8,,28,,,-,,-,,-,19,,32,,,-,26,,,
S. ATLANTIC,2017,1,,-,1,,10,,,-,1,,1,,17,,43,,1,,,-,2,,118,,161,,2,,120,,,
E.S. CENTRAL,2017,1,,-,0,,4,,,-,,-,,-,21,,65,,,-,6,,,-,18,,38,,,-,14,,,
W.S. CENTRAL,2017,1,,-,0,,1,,,-,,-,,-,9,,80,,,-,,-,35,,57,,77,,35,,39,,,
MOUNTAIN,2017,1,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,,-,30,,45,,,-,26,,,
PACIFIC,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,12,,121,,155,,12,,126,,,
AMER. SAMOA,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
OKLAHOMA,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,3,,12,,,-,5,,"OKLAHOMA
(35.468494, -97.521264)",
DIST. OF COL.,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,7,,,-,7,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NORTH CAROLINA,2017,1,,-,0,,2,,,-,,-,,-,7,,27,,,-,,-,,-,19,,29,,,-,29,,"NORTH CAROLINA
(35.47995, -79.180571)",
PENNSYLVANIA,2017,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,4,,14,,24,,4,,17,,"PENNSYLVANIA
(40.789676, -77.858055)",
INDIANA,2017,1,,-,0,,0,,,-,,-,,-,0,,6,,,-,,-,,-,6,,12,,,-,9,,"INDIANA
(39.76845, -86.156212)",
IOWA,2017,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,,-,3,,"IOWA
(42.46942, -93.815856)",
PUERTO RICO,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,8,,26,,,-,9,,"PUERTO RICO
(18.215692, -66.414655)",
C.N.M.I.,2017,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
NEW JERSEY,2017,1,,-,0,,1,,,-,,-,,-,1,,8,,,-,,-,,-,8,,16,,,-,8,,"NEW JERSEY
(40.104655, -74.386686)",
ALASKA,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEW YORK,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,1,,10,,19,,1,,,-,"NEW YORK
(42.826892, -75.544286)",
ILLINOIS,2017,1,,-,0,,1,,,-,,-,,-,1,,7,,,-,,-,,-,16,,27,,,-,27,,"ILLINOIS
(40.477092, -88.993221)",
MAINE,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,4,,,-,,-,"MAINE
(45.252223, -68.986647)",
NORTH DAKOTA,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MICHIGAN,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,6,,12,,,-,10,,"MICHIGAN
(44.66399, -84.711206)",
FLORIDA,2017,1,,-,0,,1,,,-,,-,1,,0,,2,,1,,,-,2,,45,,66,,2,,25,,"FLORIDA
(28.915325, -81.922409)",
ARKANSAS,2017,1,,-,0,,1,,,-,,-,,-,8,,75,,,-,,-,,-,2,,11,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MISSOURI,2017,1,,-,0,,1,,,-,,-,,-,4,,22,,,-,,-,,-,7,,16,,,-,10,,"MISSOURI
(38.636168, -92.566292)",
NEW HAMPSHIRE,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,11,,,-,2,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
COLORADO,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,14,,,-,4,,"COLORADO
(38.841772, -106.132562)",
WEST VIRGINIA,2017,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
LOUISIANA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,30,,,-,1,,"LOUISIANA
(31.2931, -92.463284)",
UTAH,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,6,,,-,3,,"UTAH
(39.359772, -111.584173)",
VIRGIN ISL.,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MONTANA,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,2,,"MONTANA
(47.062617, -109.430168)",
HAWAII,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,6,,,-,3,,"HAWAII
(21.30992, -157.858158)",
WISCONSIN,2017,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,1,,2,,6,,1,,3,,"WISCONSIN
(44.395526, -89.834513)",
WASHINGTON,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,9,,21,,3,,7,,"WASHINGTON
(47.517368, -120.467672)",
DELAWARE,2017,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,0,,7,,,-,7,,"DELAWARE
(39.008676, -75.574561)",
NEW MEXICO,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,10,,,-,3,,"NEW MEXICO
(34.520396, -106.244402)",
OHIO,2017,1,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,13,,22,,,-,7,,"OHIO
(40.056807, -82.405897)",
SOUTH CAROLINA,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,5,,15,,,-,8,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MISSISSIPPI,2017,1,,-,0,,0,,,-,,-,,-,1,,7,,,-,,-,,-,5,,13,,,-,3,,"MISSISSIPPI
(32.738663, -89.537312)",
MARYLAND,2017,1,,-,0,,2,,,-,,-,,-,0,,6,,,-,,-,,-,8,,22,,,-,5,,"MARYLAND
(39.290443, -76.612333)",
KANSAS,2017,1,,-,0,,1,,,-,,-,,-,1,,10,,,-,,-,,-,2,,6,,,-,2,,"KANSAS
(38.345528, -98.201847)",
ALABAMA,2017,1,,-,0,,1,,,-,,-,,-,7,,24,,,-,1,,,-,3,,14,,,-,1,,"ALABAMA
(32.839182, -86.631125)",
CALIFORNIA,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,6,,105,,128,,6,,109,,"CALIFORNIA
(37.640735, -121.002435)",
GUAM,2017,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
RHODE ISLAND,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,10,,,-,8,,"RHODE ISLAND
(41.707447, -71.522488)",
GEORGIA,2017,1,,-,1,,8,,,-,1,,,-,0,,0,,,-,,-,,-,25,,50,,,-,36,,"GEORGIA
(32.836038, -83.631709)",
VERMONT,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MINNESOTA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,11,,,-,11,,"MINNESOTA
(46.357661, -94.793397)",
MASSACHUSETTS,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,8,,17,,,-,12,,"MASSACHUSETTS
(42.268546, -72.085064)",
IDAHO,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,,-,3,,"IDAHO
(43.680635, -114.364237)",
CONNECTICUT,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,,-,5,,"CONNECTICUT
(41.544654, -72.651713)",
WYOMING,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
TEXAS,2017,1,,-,0,,1,,,-,,-,,-,1,,6,,,-,,-,35,,38,,55,,35,,33,,"TEXAS
(31.827233, -99.423022)",
NEBRASKA,2017,1,,-,0,,0,,,-,,-,,-,0,,4,,,-,,-,,-,1,,6,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
KENTUCKY,2017,1,,-,0,,2,,,-,,-,,-,2,,11,,,-,1,,,-,3,,12,,,-,2,,"KENTUCKY
(37.64591, -84.774043)",
ARIZONA,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,12,,22,,,-,8,,"ARIZONA
(34.869712, -111.760902)",
VIRGINIA,2017,1,,-,0,,1,,,-,,-,,-,4,,19,,,-,,-,,-,3,,41,,,-,3,,"VIRGINIA
(37.542699, -78.45822)",
TENNESSEE,2017,1,,-,0,,1,,,-,,-,,-,10,,40,,,-,4,,,-,6,,15,,,-,8,,"TENNESSEE
(35.681402, -85.774444)",
OREGON,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,3,,6,,15,,3,,7,,"OREGON
(44.567912, -120.156945)",
SOUTH DAKOTA,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEVADA,2017,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,7,,20,,,-,3,,"NEVADA
(39.491833, -117.070159)",
UNITED STATES,2017,2,,-,2,,11,,1,,3,,,-,58,,216,,1,,16,,85,,503,,602,,192,,1013,,,
NEW ENGLAND,2017,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,1,,14,,29,,2,,34,,,
MID. ATLANTIC,2017,2,,-,0,,1,,,-,,-,,-,2,,13,,,-,2,,8,,67,,91,,24,,142,,,
NEW YORK CITY,2017,2,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,2,,34,,47,,11,,83,,,
E.N. CENTRAL,2017,2,,-,0,,2,,,-,,-,,-,2,,15,,,-,1,,,-,45,,58,,3,,103,,,
W.N. CENTRAL,2017,2,,-,0,,2,,,-,,-,,-,8,,28,,,-,,-,,-,19,,32,,1,,45,,,
S. ATLANTIC,2017,2,,-,1,,10,,1,,2,,,-,17,,44,,1,,1,,4,,118,,161,,12,,253,,,
E.S. CENTRAL,2017,2,,-,0,,4,,,-,1,,,-,21,,65,,,-,10,,1,,25,,51,,4,,47,,,
W.S. CENTRAL,2017,2,,-,0,,1,,,-,,-,,-,9,,80,,,-,1,,35,,57,,77,,74,,105,,,
MOUNTAIN,2017,2,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,3,,31,,48,,9,,44,,,
PACIFIC,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,33,,122,,155,,63,,240,,,
AMER. SAMOA,2017,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,
MAINE,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,4,,,-,1,,"MAINE
(45.252223, -68.986647)",
MICHIGAN,2017,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,6,,12,,,-,19,,"MICHIGAN
(44.66399, -84.711206)",
NORTH DAKOTA,2017,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
