 Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2017","Salmonellosis, Cum 2017, flag","Salmonellosis, Cum 2016","Salmonellosis, Cum 2016, flag","Shiga toxin-producing E. coli (STEC)§, Current week","Shiga toxin-producing E. coli (STEC)§, Current week, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)§, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2017","Shiga toxin-producing E. coli (STEC)§, Cum 2017, flag","Shiga toxin-producing E. coli (STEC)§, Cum 2016","Shiga toxin-producing E. coli (STEC)§, Cum 2016, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2017","Shigellosis, Cum 2017, flag","Shigellosis, Cum 2016","Shigellosis, Cum 2016, flag",Location 1,Location 2
UNITED STATES,2017,1,150,,834,,1615,,150,,623,,12,,129,,250,,12,,81,,74,,370,,479,,74,,358,,,
NEW ENGLAND,2017,1,,-,38,,78,,,-,25,,,-,5,,38,,,-,2,,,-,5,,13,,,-,5,,,
MID. ATLANTIC,2017,1,27,,81,,195,,27,,59,,6,,14,,30,,6,,14,,12,,26,,49,,12,,24,,,
NEW YORK CITY,2017,1,8,,19,,42,,8,,14,,4,,2,,9,,4,,1,,7,,8,,17,,7,,7,,,
E.N. CENTRAL,2017,1,21,,101,,195,,21,,73,,,-,15,,85,,,-,16,,23,,63,,120,,23,,74,,,
W.N. CENTRAL,2017,1,5,,48,,202,,5,,51,,1,,17,,41,,1,,11,,1,,30,,98,,1,,64,,,
S. ATLANTIC,2017,1,54,,207,,476,,54,,174,,2,,11,,29,,2,,13,,18,,51,,78,,18,,70,,,
E.S. CENTRAL,2017,1,10,,72,,205,,10,,62,,,-,6,,14,,,-,10,,9,,14,,28,,9,,28,,,
W.S. CENTRAL,2017,1,7,,144,,272,,7,,43,,1,,22,,38,,1,,2,,2,,103,,162,,2,,25,,,
MOUNTAIN,2017,1,14,,41,,71,,14,,42,,2,,12,,25,,2,,2,,7,,31,,54,,7,,32,,,
PACIFIC,2017,1,12,,112,,186,,12,,94,,,-,20,,63,,,-,11,,2,,43,,76,,2,,36,,,
AMER. SAMOA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MISSISSIPPI,2017,1,4,,18,,57,,4,,11,,,-,0,,2,,,-,,-,3,,1,,5,,3,,2,,"MISSISSIPPI
(32.738663, -89.537312)",
OKLAHOMA,2017,1,1,,14,,52,,1,,,-,,-,2,,14,,,-,,-,,-,10,,68,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
VIRGIN ISL.,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
COLORADO,2017,1,6,,0,,0,,6,,,-,,-,0,,0,,,-,,-,4,,0,,0,,4,,,-,"COLORADO
(38.841772, -106.132562)",
CONNECTICUT,2017,1,,-,8,,22,,,-,10,,,-,1,,34,,,-,,-,,-,1,,4,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
WASHINGTON,2017,1,,-,13,,30,,,-,,-,,-,2,,37,,,-,,-,,-,3,,11,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
ALASKA,2017,1,2,,1,,5,,2,,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEBRASKA,2017,1,3,,4,,14,,3,,5,,1,,2,,10,,1,,3,,1,,3,,14,,1,,,-,"NEBRASKA
(41.640503, -99.367122)",
PUERTO RICO,2017,1,1,,10,,27,,1,,27,,,-,0,,0,,,-,,-,,-,0,,4,,,-,1,,"PUERTO RICO
(18.215692, -66.414655)",
MAINE,2017,1,,-,2,,7,,,-,3,,,-,0,,3,,,-,1,,,-,0,,1,,,-,,-,"MAINE
(45.252223, -68.986647)",
VERMONT,2017,1,,-,2,,10,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
TENNESSEE,2017,1,3,,18,,105,,3,,15,,,-,4,,9,,,-,7,,1,,4,,13,,1,,8,,"TENNESSEE
(35.681402, -85.774444)",
UTAH,2017,1,1,,6,,12,,1,,12,,1,,2,,5,,1,,,-,,-,1,,5,,,-,,-,"UTAH
(39.359772, -111.584173)",
WISCONSIN,2017,1,,-,15,,30,,,-,7,,,-,4,,13,,,-,5,,1,,14,,40,,1,,15,,"WISCONSIN
(44.395526, -89.834513)",
KANSAS,2017,1,1,,8,,25,,1,,7,,,-,2,,7,,,-,,-,,-,4,,14,,,-,6,,"KANSAS
(38.345528, -98.201847)",
MISSOURI,2017,1,,-,19,,42,,,-,19,,,-,5,,19,,,-,3,,,-,12,,75,,,-,34,,"MISSOURI
(38.636168, -92.566292)",
NEW JERSEY,2017,1,,-,16,,55,,,-,25,,,-,2,,7,,,-,7,,,-,5,,10,,,-,6,,"NEW JERSEY
(40.104655, -74.386686)",
KENTUCKY,2017,1,,-,9,,77,,,-,5,,,-,1,,5,,,-,3,,5,,5,,14,,5,,9,,"KENTUCKY
(37.64591, -84.774043)",
GUAM,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ILLINOIS,2017,1,,-,32,,63,,,-,26,,,-,3,,60,,,-,6,,,-,10,,22,,,-,21,,"ILLINOIS
(40.477092, -88.993221)",
DIST. OF COL.,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NORTH DAKOTA,2017,1,,-,2,,10,,,-,,-,,-,1,,3,,,-,1,,,-,0,,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MASSACHUSETTS,2017,1,,-,21,,53,,,-,12,,,-,2,,7,,,-,1,,,-,3,,8,,,-,4,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEW YORK,2017,1,6,,25,,66,,6,,6,,1,,4,,16,,1,,1,,2,,4,,12,,2,,2,,"NEW YORK
(42.826892, -75.544286)",
OHIO,2017,1,21,,26,,68,,21,,30,,,-,4,,14,,,-,3,,22,,21,,54,,22,,22,,"OHIO
(40.056807, -82.405897)",
CALIFORNIA,2017,1,5,,84,,149,,5,,78,,,-,14,,34,,,-,10,,2,,35,,70,,2,,33,,"CALIFORNIA
(37.640735, -121.002435)",
NEVADA,2017,1,,-,3,,9,,,-,4,,,-,1,,4,,,-,,-,,-,1,,10,,,-,2,,"NEVADA
(39.491833, -117.070159)",
WYOMING,2017,1,,-,1,,5,,,-,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
PENNSYLVANIA,2017,1,13,,25,,61,,13,,14,,1,,4,,12,,1,,5,,3,,9,,27,,3,,9,,"PENNSYLVANIA
(40.789676, -77.858055)",
OREGON,2017,1,5,,8,,23,,5,,6,,,-,3,,15,,,-,1,,,-,1,,9,,,-,3,,"OREGON
(44.567912, -120.156945)",
ALABAMA,2017,1,3,,23,,49,,3,,31,,,-,0,,3,,,-,,-,,-,5,,10,,,-,9,,"ALABAMA
(32.839182, -86.631125)",
INDIANA,2017,1,,-,10,,28,,,-,4,,,-,1,,8,,,-,1,,,-,4,,14,,,-,6,,"INDIANA
(39.76845, -86.156212)",
ARIZONA,2017,1,6,,16,,34,,6,,14,,,-,3,,8,,,-,1,,2,,22,,49,,2,,25,,"ARIZONA
(34.869712, -111.760902)",
TEXAS,2017,1,1,,101,,185,,1,,33,,,-,16,,35,,,-,1,,,-,76,,130,,,-,21,,"TEXAS
(31.827233, -99.423022)",
VIRGINIA,2017,1,,-,21,,44,,,-,3,,,-,2,,8,,,-,,-,,-,7,,15,,,-,3,,"VIRGINIA
(37.542699, -78.45822)",
WEST VIRGINIA,2017,1,,-,3,,10,,,-,2,,,-,0,,3,,,-,2,,,-,0,,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW HAMPSHIRE,2017,1,,-,3,,9,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
IOWA,2017,1,1,,14,,58,,1,,18,,,-,4,,21,,,-,3,,,-,6,,31,,,-,23,,"IOWA
(42.46942, -93.815856)",
MINNESOTA,2017,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
HAWAII,2017,1,,-,5,,18,,,-,10,,,-,0,,3,,,-,,-,,-,0,,5,,,-,,-,"HAWAII
(21.30992, -157.858158)",
IDAHO,2017,1,,-,3,,10,,,-,4,,1,,2,,13,,1,,,-,1,,0,,4,,1,,3,,"IDAHO
(43.680635, -114.364237)",
GEORGIA,2017,1,7,,41,,148,,7,,26,,,-,2,,9,,,-,3,,,-,13,,29,,,-,23,,"GEORGIA
(32.836038, -83.631709)",
DELAWARE,2017,1,1,,2,,16,,1,,2,,,-,0,,2,,,-,,-,3,,1,,4,,3,,,-,"DELAWARE
(39.008676, -75.574561)",
RHODE ISLAND,2017,1,,-,2,,6,,,-,,-,,-,0,,2,,,-,,-,,-,0,,4,,,-,1,,"RHODE ISLAND
(41.707447, -71.522488)",
ARKANSAS,2017,1,,-,13,,45,,,-,,-,,-,1,,7,,,-,1,,,-,2,,9,,,-,2,,"ARKANSAS
(34.748745, -92.275105)",
MONTANA,2017,1,,-,3,,8,,,-,2,,,-,2,,15,,,-,1,,,-,0,,2,,,-,,-,"MONTANA
(47.062617, -109.430168)",
SOUTH DAKOTA,2017,1,,-,3,,107,,,-,2,,,-,1,,9,,,-,1,,,-,0,,2,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
